1	248956422	sps1	124478211
2	242193529	sps1	121096764.5
3	198295559	sps1	99147779.5
4	190214555	sps1	95107277.5
5	181538259	sps1	90769129.5
6	170805979	sps1	85402989.5
7	159345973	sps1	79672986.5
8	145138636	sps1	72569318
9	138394717	sps1	69197358.5
10	133797422	sps1	66898711
11	135086622	sps1	67543311
12	133275309	sps1	66637654.5
13	114364328	sps1	57182164
14	107043718	sps1	53521859
15	101991189	sps1	50995594.5
16	90338345	sps1	45169172.5
17	83257441	sps1	41628720.5
18	80373285	sps1	40186642.5
19	58617616	sps1	29308808
20	64444167	sps1	32222083.5
21	46709983	sps1	23354991.5
22	50818468	sps1	25409234
X	156040895	sps1	78020447.5
Y	57227415	sps1	28613707.5
1	220829949	sps2	110414974.5
2	194590626	sps2	97295313
3	186593194	sps2	93296597
4	174811213	sps2	87405606.5
5	167590190	sps2	83795095
6	153411954	sps2	76705977
7	141180797	sps2	70590398.5
8	129586403	sps2	64793201.5
9	129149534	sps2	64574767
10	128814721	sps2	64407360.5
11	127899456	sps2	63949728
12	111075373	sps2	55537686.5
13	107909299	sps2	53954649.5
14	95197326	sps2	47598663
15	88282628	sps2	44141314
16	78953107	sps2	39476553.5
17	75751991	sps2	37875995.5
18	74906297	sps2	37453148.5
19	74498276	sps2	37249138
20	59617313	sps2	29808656.5
21	54046283	sps2	27023141.5
22	33654069	sps2	16827034.5
23	33380987	sps2	16690493.5
X	150179692	sps2	75089846
1	327680592	sps3	163840296
2	228187830	sps3	114093915
3	219433329	sps3	109716664.5
4	174433132	sps3	87216566
5	167471642	sps3	83735821
6	128923770	sps3	64461885
7	127942400	sps3	63971200
8	127899356	sps3	63949678
9	124774779	sps3	62387389.5
10	123868388	sps3	61934194
11	110207010	sps3	55103505
12	106169555	sps3	53084777.5
13	95067678	sps3	47533839
14	88282628	sps3	44141314
15	77520841	sps3	38760420.5
16	75330377	sps3	37665188.5
17	74251337	sps3	37125668.5
18	73748586	sps3	36874293
19	59251557	sps3	29625778.5
20	37948648	sps3	18974324
21	29478790	sps3	14739395
22	23648533	sps3	11824266.5
23	19061985	sps3	9530992.5
X	150029004	sps3	75014502
1	327167956	sps4	163583978
2	227607576	sps4	113803788
3	216112713	sps4	108056356.5
4	177135534	sps4	88567767
5	166658623	sps4	83329311.5
6	128047920	sps4	64023960
7	127862323	sps4	63931161.5
8	127628143	sps4	63814071.5
9	124323394	sps4	62161697
10	123392535	sps4	61696267.5
11	109652843	sps4	54826421.5
12	106038263	sps4	53019131.5
13	94903014	sps4	47451507
14	88173700	sps4	44086850
15	77182888	sps4	38591444
16	74251340	sps4	37125670
17	73241096	sps4	36620548
18	72285341	sps4	36142670.5
19	59251557	sps4	29625778.5
20	52337002	sps4	26168501
21	37882228	sps4	18941114
22	18915631	sps4	9457815.5
X	149131321	sps4	74565660.5
